"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 03:48:06 GMT 2023","Sat Dec 23 03:48:06 GMT 2023","154","Accounts and settings","Domains","","","","Validate domain configuration",""
"passed","Sat Dec 23 03:47:59 GMT 2023","Sat Dec 23 03:47:59 GMT 2023","141","Contact management","Attributes","","","","Delete an attribute",""
"failed","Sat Dec 23 03:47:53 GMT 2023","Sat Dec 23 03:47:53 GMT 2023","154","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Sat Dec 23 03:48:10 GMT 2023","Sat Dec 23 03:48:11 GMT 2023","141","Sales CRM","Files","","","","Delete a file",""
"passed","Sat Dec 23 03:47:50 GMT 2023","Sat Dec 23 03:47:50 GMT 2023","151","Transactional","WhatsApp Transactional","","","","Get all your WhatsApp activity (unaggregated events) Copy",""
"passed","Sat Dec 23 03:48:05 GMT 2023","Sat Dec 23 03:48:05 GMT 2023","152","Accounts and settings","Senders","","","","Get all the dedicated IPs for a sender",""
"failed","Sat Dec 23 03:47:51 GMT 2023","Sat Dec 23 03:47:51 GMT 2023","147","Marketing","Email Campaigns","","","","Send an email campaign to your test list",""
"passed","Sat Dec 23 03:48:08 GMT 2023","Sat Dec 23 03:48:08 GMT 2023","155","Sales CRM","Tasks","","","","Get all tasks",""
"failed","Sat Dec 23 03:47:56 GMT 2023","Sat Dec 23 03:47:56 GMT 2023","147","Contact management","Contacts","","","","Export contacts",""
"passed","Sat Dec 23 03:47:49 GMT 2023","Sat Dec 23 03:47:49 GMT 2023","157","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.",""
"passed","Sat Dec 23 03:48:07 GMT 2023","Sat Dec 23 03:48:07 GMT 2023","137","Sales CRM","Companies","","","","Delete a company",""
"passed","Sat Dec 23 03:48:02 GMT 2023","Sat Dec 23 03:48:02 GMT 2023","153","Accounts and settings","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"failed","Sat Dec 23 03:47:54 GMT 2023","Sat Dec 23 03:47:54 GMT 2023","155","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
"failed","Sat Dec 23 03:47:57 GMT 2023","Sat Dec 23 03:47:57 GMT 2023","168","Contact management","Folders","","","","Create a folder",""
"passed","Sat Dec 23 03:48:07 GMT 2023","Sat Dec 23 03:48:07 GMT 2023","193","Sales CRM","Companies","","","","Get pipeline stages",""
"passed","Sat Dec 23 03:48:11 GMT 2023","Sat Dec 23 03:48:11 GMT 2023","140","Conversations","Messages","","","","Update a message sent by an agent",""
"passed","Sat Dec 23 03:48:10 GMT 2023","Sat Dec 23 03:48:10 GMT 2023","149","Sales CRM","Notes","","","","Update a note",""
"passed","Sat Dec 23 03:48:01 GMT 2023","Sat Dec 23 03:48:01 GMT 2023","151","Accounts and settings","Reseller","Domains","","","Delete the sender domain of the reseller child based on the childIdentifier and domainName passed",""
"failed","Sat Dec 23 03:47:50 GMT 2023","Sat Dec 23 03:47:51 GMT 2023","157","Marketing","Email Campaigns","","","","Create an email campaign",""
"passed","Sat Dec 23 03:47:58 GMT 2023","Sat Dec 23 03:47:59 GMT 2023","137","Contact management","Lists","","","","Update a list",""
"failed","Sat Dec 23 03:47:51 GMT 2023","Sat Dec 23 03:47:51 GMT 2023","164","Marketing","Email Campaigns","","","","Get an email campaign report",""
"passed","Sat Dec 23 03:48:14 GMT 2023","Sat Dec 23 03:48:14 GMT 2023","157","eCommerce","Products","","","","Create products in batch",""
"failed","Sat Dec 23 03:47:46 GMT 2023","Sat Dec 23 03:47:46 GMT 2023","190","Transactional","Templates","","","","Get the list of email templates",""
"failed","Sat Dec 23 03:47:45 GMT 2023","Sat Dec 23 03:47:45 GMT 2023","183","Transactional","Email API","","","","Send a scheduled transactional email",""
"passed","Sat Dec 23 03:48:10 GMT 2023","Sat Dec 23 03:48:10 GMT 2023","155","Sales CRM","Files","","","","Get all files",""
"failed","Sat Dec 23 03:48:13 GMT 2023","Sat Dec 23 03:48:13 GMT 2023","139","eCommerce","Categories","","","","Create/update a category",""
"passed","Sat Dec 23 03:47:54 GMT 2023","Sat Dec 23 03:47:54 GMT 2023","142","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"passed","Sat Dec 23 03:48:03 GMT 2023","Sat Dec 23 03:48:03 GMT 2023","167","Accounts and settings","Process","","","","Return the informations for a process",""
"passed","Sat Dec 23 03:48:00 GMT 2023","Sat Dec 23 03:48:00 GMT 2023","146","Accounts and settings","Webhooks","","","","Update a webhook",""
"passed","Sat Dec 23 03:48:03 GMT 2023","Sat Dec 23 03:48:03 GMT 2023","149","Accounts and settings","Process","","","","Return all the processes for your account",""
